"No.","Time","Source","Destination","Protocol","Length","Info"
"137","0.433320405","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=80161 Win=65535 Len=0"
"138","0.433639444","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"139","0.433639604","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"140","0.433652315","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=82985 Win=65535 Len=0"
"141","0.433997204","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"142","0.435327443","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"143","0.435339303","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=85809 Win=65535 Len=0"
"144","0.435595553","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"145","0.435824043","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"146","0.435832323","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=88633 Win=65535 Len=0"
"147","0.436299552","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"148","0.436299732","34.160.122.198","10.0.2.15","TLSv1.3","132","Application Data, Application Data"
"149","0.436310723","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=90123 Win=65535 Len=0"
"150","0.437958551","10.0.2.15","34.160.122.198","TLSv1.3","93","Application Data"
"151","0.438570920","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=90123 Ack=1134 Win=65535 Len=0"
"152","0.558635895","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"153","0.558913985","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=5919 Ack=2065 Win=65535 Len=0"
"154","0.559213425","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"155","0.559658504","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=5919 Ack=2224 Win=65535 Len=0"
"156","0.560022074","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"157","0.560218334","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=5919 Ack=2280 Win=65535 Len=0"
"158","0.560340834","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"159","0.560518774","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=5919 Ack=2439 Win=65535 Len=0"
"160","0.583132968","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"161","0.584714829","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"162","0.584803528","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=2439 Ack=6971 Win=62780 Len=0"
"163","0.598123220","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"164","0.598330440","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=6971 Ack=2495 Win=65535 Len=0"
"165","0.598635380","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"166","0.599591269","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=6971 Ack=2654 Win=65535 Len=0"
"167","0.623489692","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"168","0.625892501","10.0.2.15","172.66.44.77","QUIC","1399","Initial, DCID=1eb6cdec83b78e68ed6607, SCID=29abab, PKN: 0, CRYPTO"
"169","0.652023666","172.66.44.77","10.0.2.15","QUIC","1242","Initial, DCID=29abab, SCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f, PKN: 0, ACK, CRYPTO"
